year,city,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2016,נתניה,7354,95185,8391.0,1.9,9636.0,1.74
2016,סאג'ור,103,1729,6494.22,-5.5,5077.94,-3.95
2016,סביון*,198,1798,17116.66,1.01,16653.22,-27.2
2016,סח'נין,969,12133,6158.0,3.5,7960.0,7.27
2016,ע'ג'ר,67,956,7005.79,6.48,8562.1,20.2
2016,עומר,259,3801,15974.05,0.83,15568.99,1.05
2016,עוצם,264,2090,13897.0,-2.29,12154.0,2.38
2016,עיילבון,197,2470,7247.08,1.73,8581.54,8.76
2016,עילוט,195,2585,5421.4,3.93,11259.2,3.43
2016,עין הוד,47,813,10595.0,8.36,11482.0,5.17
2016,עין מאהל,277,4845,5132.41,4.45,7448.14,1.12
2016,עין קנייא,94,857,5595.49,3.08,6360.84,18.79
2016,עכו,1255,22824,6846.0,1.4,9445.0,5.67
2016,עמנואל,46,1154,4678.93,3.58,5594.26,43.53
2016,עספיא,472,5005,7620.75,2.95,6769.91,8.89
2016,עפולה,1190,23476,7388.0,-0.3,9095.0,3.96
2016,עראבה,761,8566,6103.0,4.1,9092.0,8.53
2016,ערד,602,11117,7297.0,2.7,7274.0,-0.32
2016,ערערה,560,7564,6319.89,3.35,7401.57,9.3
2016,ערערה-בנגב,122,3616,5913.01,1.16,11182.51,0.53
2016,עתלית,81,2187,8098.0,-3.71,10866.0,22.8
2016,פוריידיס,397,5163,5769.35,5.62,8278.05,8.75
2016,פסוטה,191,1514,7430.97,3.75,9443.51,0.58
2016,פקיעין (בוקייעה),286,2459,7065.13,-0.25,7260.88,5.74
2016,פרדס חנה-כרכור,2114,17838,10081.0,1.19,9857.01,6.27
2016,פרדסייה,335,3354,11960.82,0.74,11594.79,2.45
2016,פתח תקווה,7853,115151,9998.0,1.4,11285.0,5.77
2016,צפת,802,11674,5842.0,0.2,6904.0,3.1
2016,קדומים,114,1785,8671.76,-1.84,8251.42,-15.04
2016,קדימה-צורן,1132,9906,12557.92,2.48,12982.36,9.08
2016,קלנסווה,701,8204,6204.0,3.3,7964.0,10.57
2016,קצרין,244,3492,6548.61,-2.55,7785.79,6.26
2016,קריית אונו,1612,17148,13892.0,2.2,13981.0,4.32
2016,קריית ארבע,114,3034,5929.38,3.54,9679.06,12.09
2016,קריית אתא,1615,27377,8446.0,2.2,9543.0,2.69
2016,קריית ביאליק,986,19279,8940.0,1.6,10071.0,4.47
2016,קריית גת,1335,25406,6744.0,1.6,9610.0,6.08
2016,קריית טבעון,805,7337,12171.05,0.47,11764.47,3.86
2016,קריית ים,913,19043,7445.0,1.8,8027.0,5.82
2016,קריית יערים,136,1398,5816.29,4.14,10389.13,16.69
2016,קריית מוצקין,1094,20961,9407.0,1.0,10622.0,6.91
2016,קריית מלאכי,576,10504,6137.0,2.5,9085.0,7.64
2016,קריית ענבים,164,3474,8742.0,-0.01,10130.0,19.0
2016,קריית עקרון,410,5353,7616.33,-1.56,9168.21,10.24
2016,קריית שמונה,584,11485,7172.0,-0.2,9294.0,5.47
2016,קרני שומרון,217,3579,8589.25,2.12,8844.98,2.67
2016,ראמה,321,3446,6918.96,2.69,7070.38,-1.62
2016,ראש העין,1802,24679,9974.0,-0.8,10460.0,1.05
2016,ראש פינה,2043,22383,10492.0,2.27,11224.0,5.08
2016,ראשון לציון,9475,125057,10021.0,1.0,11367.0,2.97
2016,רהט,708,18292,4959.0,4.0,9846.0,3.23
2016,רחובות,4170,62533,10187.0,0.5,10459.0,1.69
2016,ריינה,490,6189,5726.25,2.87,8859.03,9.66
2016,רכסים,166,3362,5222.72,3.38,5825.51,-0.6
2016,רמלה,2322,34229,7102.0,2.1,8892.0,5.96
2016,רמת גן,6555,70818,10863.0,2.2,11585.0,1.54
2016,רמת השרון,2322,19707,13914.0,0.3,14065.0,4.74
2016,רמת ישי,255,3734,12330.37,0.62,10496.82,0.09
2016,רעננה,3471,32884,12299.0,1.1,13040.0,-1.72
2016,שבלי - אום אל-גנם,188,2366,6222.06,3.64,9685.29,0.93
2016,שגב-שלום,71,2637,5090.99,4.25,6857.88,0.1
2016,שדה דוד,626,7662,10079.0,1.29,10561.0,-1.1
2016,שדה משה,1436,9540,11992.0,-0.7,11547.0,4.89
2016,שדות מיכה,306,2551,12580.0,-3.04,12750.0,7.12
2016,שדרות,634,12417,7201.0,3.9,9693.0,6.94
2016,שוהם,833,10633,14689.71,0.26,14792.15,1.16
2016,שחר,330,6163,8761.0,5.0,10288.0,13.14
2016,שלומי,218,3157,8164.68,1.59,10706.09,8.26
2016,שעב,4032,4032,4032.0,4032.0,4032.0,4032.0
2016,שפרעם,1161,16307,6236.0,2.0,8996.0,5.79
2016,תל אביב -יפו,24447,223935,11017.0,2.5,11908.0,2.42
2016,תל מונד,660,5819,13983.03,-0.02,13735.86,6.07
2016,תל שבע,149,4543,4983.94,-1.46,11631.4,0.88
